dataset_key,dataset_label,method,sweep_id,accuracy,avg_target_tokens_per_question,target_token_frac,normalized_cost_vs_ms,pgr,ibc,delta_ibc,on_pareto_front
MATH,math500/test_100,TRIM-Agg,3e-4,0.69,16.89,0.03472093740363861,0.03518823308818934,0.5624999999999997,0.005328596802841916,14.98545737122557,True
MATH,math500/test_100,TRIM-Agg,4e-4,0.63,0.0,0.0,0.0,0.18750000000000014,,,True
MATH,math500/test_100,TRIM-Agg,5.999999999999999e-4,0.63,0.41,0.000865855718871431,0.0008541844621762953,0.18750000000000014,0.07317073170731714,218.5076219512197,False
MATH,math500/test_100,TRIM-Agg,5e-4,0.64,7.24,0.015394429087816287,0.015083647575991167,0.25000000000000017,0.005524861878453044,15.574240331491726,True
MATH,math500/test_100,TRIM-Agg,8e-4,0.03,0.0,0.0,0.0,-3.562499999999999,,,False
AIME,aime/test,TRIM-Agg,1.5e-4,0.06224066390041494,0.0,0.0,0.0,-0.08108108108108115,,,False
AIME,aime/test,TRIM-Agg,1e-4,0.07883817427385892,0.24896265560165975,0.0002871376681549969,0.0002680629769287131,0.135135135135135,0.04166666666666663,503.11711711711666,True
AIME,aime/test,TRIM-Agg,2.5e-4,0.06016597510373444,0.0,0.0,0.0,-0.10810810810810817,,,False
AIME,aime/test,TRIM-Agg,2e-4,0.06846473029045644,0.0,0.0,0.0,0.0,,,True
AIME,aime/test,TRIM-Agg,3e-4,0.06639004149377593,0.0,0.0,0.0,-0.027027027027027112,,,False
AIME,aime/test,TRIM-Agg,8.000000000000001e-5,0.12240663900414937,941.9585062240664,0.5124985466806186,1.0142252086423504,0.7027027027027025,5.7265695205539784e-05,-0.3071531877586185,True
AIME,aime/test,TRIM-Agg,8.500000000000001e-5,0.06431535269709543,0.0,0.0,0.0,-0.054054054054054224,,,False
